date,total_ratings,overall_avg_total_ratings,30_day_avg_total_ratings,percentile_total_ratings,average_rating,overall_avg_rating,30_day_avg_rating,percentile_average_rating,unique_datasets,narrative_summary
2020-05-16,4,8.73,8.03,0.22,2.5,2.98,2.96,0.31,4,Yesterday was pretty quiet and the vibes were a bit off
2020-05-17,2,8.73,7.73,0.07,5.0,2.98,2.98,0.98,2,Yesterday was dead quiet and the vibes were absolutely stellar
2020-05-18,6,8.73,7.8,0.4,2.33,2.98,2.96,0.25,6,Yesterday was somewhat active and the vibes were below average
2020-05-19,8,8.73,7.73,0.56,3.12,2.98,2.96,0.57,7,Yesterday was getting there and the vibes were decent
2020-05-20,7,8.73,7.77,0.48,3.0,2.98,2.99,0.51,7,Yesterday was somewhat active and the vibes were decent
2020-05-21,5,8.73,7.73,0.31,1.6,2.98,2.93,0.08,5,Yesterday was low-key and the vibes were rock bottom
2020-05-22,10,8.73,7.8,0.7,2.7,2.98,2.9,0.38,7,Yesterday was buzzing and the vibes were a bit off
2020-05-23,2,8.73,7.57,0.07,4.5,2.98,2.96,0.94,2,Yesterday was dead quiet and the vibes were absolutely stellar
2020-05-24,2,8.73,6.97,0.07,4.5,2.98,2.98,0.94,2,Yesterday was dead quiet and the vibes were absolutely stellar
2020-05-25,14,8.73,7.33,0.86,4.43,2.98,3.02,0.93,5,Yesterday was very lively and the vibes were absolutely stellar
2020-05-26,5,8.73,7.33,0.31,2.4,2.98,2.99,0.28,5,Yesterday was low-key and the vibes were below average
2020-05-27,5,8.73,7.3,0.31,3.8,2.98,3.04,0.81,5,Yesterday was low-key and the vibes were top notch
2020-05-28,6,8.73,7.23,0.4,3.5,2.98,3.04,0.71,6,Yesterday was somewhat active and the vibes were great
2020-05-29,5,8.73,7.07,0.31,3.4,2.98,3.07,0.66,5,Yesterday was low-key and the vibes were solid
2020-05-30,4,8.73,6.8,0.22,2.0,2.98,3.05,0.15,4,Yesterday was pretty quiet and the vibes were not great
2020-05-31,4,8.73,6.57,0.22,3.0,2.98,3.04,0.51,4,Yesterday was pretty quiet and the vibes were decent
2020-06-01,6,8.73,6.7,0.4,3.0,2.98,3.11,0.51,6,Yesterday was somewhat active and the vibes were decent
2020-06-02,11,8.73,6.9,0.75,2.82,2.98,3.09,0.43,10,Yesterday was buzzing and the vibes were about average
2020-06-03,5,8.73,6.63,0.31,3.2,2.98,3.1,0.59,5,Yesterday was low-key and the vibes were decent
2020-06-04,14,8.73,6.73,0.86,2.79,2.98,3.08,0.41,14,Yesterday was very lively and the vibes were about average
2020-06-05,6,8.73,6.53,0.4,3.67,2.98,3.1,0.77,5,Yesterday was somewhat active and the vibes were great
2020-06-06,4,8.73,6.27,0.22,5.0,2.98,3.18,0.98,4,Yesterday was pretty quiet and the vibes were absolutely stellar
2020-06-07,7,8.73,6.07,0.48,1.57,2.98,3.12,0.07,2,Yesterday was somewhat active and the vibes were rock bottom
2020-06-08,12,8.73,6.33,0.79,3.5,2.98,3.15,0.71,11,Yesterday was buzzing and the vibes were great
2020-06-09,15,8.73,6.8,0.89,3.2,2.98,3.22,0.59,11,Yesterday was very lively and the vibes were decent
2020-06-10,7,8.73,6.73,0.48,3.29,2.98,3.23,0.62,6,Yesterday was somewhat active and the vibes were solid
2020-06-11,7,8.73,6.77,0.48,2.14,2.98,3.17,0.19,6,Yesterday was somewhat active and the vibes were not great
